UNIX_timestamp,prices,market_caps,total_volumes
1.51623E+12,1.02209,1653834449,4270310000
1.51632E+12,1.00555,1627071227,2879550000
1.51641E+12,1.00356,1623851226,2935940000
1.51649E+12,1.003,1622945095,3298380000
1.51658E+12,0.992747,1606354810,3254440000
1.51667E+12,1.00714,1629643991,3128360000
1.51675E+12,1.00486,1625954744,2618370000
1.51684E+12,0.999067,1616581144,2582940000
1.51692E+12,0.992098,1605304669,2950310000
1.51701E+12,0.995557,1610901645,2010950000
1.5171E+12,0.988924,2252858690,2540410000
1.51718E+12,0.99629,2269639107,2037230000
1.51727E+12,0.994773,2266183243,2026820000
1.51736E+12,0.989954,2224566037,3096270000
1.51744E+12,0.993109,2201862497,2662360000
1.51753E+12,0.978577,2169643006,3483370000
1.51762E+12,0.989437,2193721156,4799090000
1.5177E+12,0.999372,2215748450,2492940000
1.51779E+12,0.995898,2208046102,2509000000
1.51788E+12,1.01066,2240775535,3937090000
1.51796E+12,0.995519,2207205806,6266930000
1.51805E+12,0.999616,2216289432,3352860000
1.51813E+12,1.01792,2256871977,2495780000
1.51822E+12,1.00169,2220887782,1621940000
1.51831E+12,1.00549,2229312917,2632410000
1.51839E+12,1.00667,2231929143,2427580000
1.51848E+12,1.00146,2220377840,2463490000
1.51857E+12,1.00366,2225255549,2249290000
1.51865E+12,0.997587,2211790853,3041180000
1.51874E+12,1.00112,2219624012,3297560000
1.51883E+12,1.00225,2222129381,2617050000
1.51891E+12,1.00623,2230953601,2756700000
1.519E+12,1.00329,2224435207,3140400000
1.51908E+12,0.999762,2216613134,2556800000
1.51917E+12,1.0006,2218471098,2960120000
1.51926E+12,1.00128,2219978754,2911040000
1.51934E+12,1.00319,2224213493,2928040000
1.51943E+12,0.997796,2212254236,2817600000
1.51952E+12,1.00595,2230332802,2418680000
1.5196E+12,1.00504,2228315204,1978000000
1.51969E+12,1.0012,2219801383,2383900000
1.51978E+12,0.998792,2214462508,2475340000
1.51986E+12,1.00189,2221331210,2396490000
1.51995E+12,1.00063,2218537613,2297490000
1.52004E+12,0.998889,2214677571,2180070000
1.52012E+12,1.00123,2219867897,2187790000
1.52021E+12,0.996547,2209485027,2092290000
1.52029E+12,0.997801,2212265321,2249900000
1.52038E+12,1.00069,2218670641,2480530000
1.52047E+12,1.00298,2223747894,3049800000
1.52055E+12,1.00321,2224257836,2650980000
1.52064E+12,1.00169,2220887782,3065810000
1.52073E+12,1.00251,2222705837,2276070000
1.52081E+12,1.00929,2237738052,2392100000
1.5209E+12,0.999281,2215546690,2166510000
1.52099E+12,0.999219,2215409227,1913310000
1.52107E+12,0.995842,2207921942,2124490000
1.52116E+12,1.0019,2221353382,2284550000
1.52124E+12,1.00029,2217783785,1840630000
1.52133E+12,1.00177,2221065153,1720280000
1.52142E+12,0.996524,2209434033,2636520000
1.5215E+12,0.998764,2214400428,2620560000
1.52159E+12,1.00476,2227694404,2510880000
1.52168E+12,1.00076,2218825841,2358290000
1.52176E+12,0.999939,2226894995,2170840000
1.52185E+12,0.998429,2283547716,1967700000
1.52194E+12,1.00055,2288398741,1796750000
1.52202E+12,1.00064,2288604584,1524270000
1.52211E+12,1.00273,2293384708,2179460000
1.5222E+12,1.00647,2301938615,2043760000
1.52228E+12,1.00172,2230861337,1870920000
1.52237E+12,0.992949,2271014184,2490790000
1.52245E+12,1.00063,2288581713,2597980000
1.52254E+12,1.00069,2288718941,1765870000
1.52263E+12,1.00329,2294665507,1829520000
1.52271E+12,0.999559,2286132185,1549630000
1.5228E+12,1.00064,2288604584,1753330000
1.52289E+12,1.00017,2287529628,1766920000
1.52297E+12,1,2287140814,1611260000
1.52306E+12,1.0014,2290342811,1259950000
1.52315E+12,1.00046,2288192899,1329360000
